dataset,inside_AD,n,R2,RMSE,MAE
external,True,58,0.46963789555788893,0.43286435776064514,0.3683949091732385
test,False,21,0.6449303274649827,0.8662375687320535,0.7722197407826192
test,True,439,0.6423711910455272,0.7479551831017021,0.5160447477603427
