feature,pubchem_bit,mean_abs_SHAP,permutation_importance_mean,permutation_importance_std,definition
PubchemFP385,385,0.2208110262196449,0.18206860103000294,0.032029188561008226,C(:C)(:C)(:C)
PubchemFP147,147,0.07332033800926513,0.024612479762354023,0.01062232877469962,>= 1 unsaturated non-aromatic carbon-only ring size 5
PubchemFP712,712,0.07092493551281441,0.045209624013044444,0.009844782567472106,C-C(C)-C(C)-C
PubchemFP299,299,0.06739750039911997,0.021120537240655622,0.0027292347695786322,N-H
PubchemFP420,420,0.062003615599687194,0.016020974717001656,0.005394218133438161,C=O
PubchemFP422,422,0.05794109137970554,0.02444890079265124,0.005607675331662558,N=N
PubchemFP192,192,0.05199673502882718,0.037946660787667154,0.0065564734432145555,>= 3 any ring size 6
PubchemFP715,715,0.046303735153599285,0.011745571133110644,0.003640893507486,Cc1ccc(S)cc1
PubchemFP778,778,0.04051230545829158,0.00971791057842455,0.0028103076825152853,CC1CCC(S)CC1
PubchemFP576,576,0.039489639315848535,0.015032913880207865,0.003737057667149866,N=C-C:C-[#1]
PubchemFP667,667,0.03932714294542753,0.013296216758809164,0.008632749109251098,C=C-C-O-[#1]
PubchemFP593,593,0.03381475207149118,0.007635632253009073,0.0017862165917370324,N-C-C-C-N
PubchemFP184,184,0.03249257812208601,0.0036477371169484907,0.004009612895753378,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP561,561,0.0323825007605731,0.03211586251772678,0.012176449752364425,Cl-C-C=O
PubchemFP24,24,0.02868445700728788,0.01135574618939188,0.004952490880372661,>= 2 F
PubchemFP16,16,0.02765367011972027,0.01218075028748663,0.004221812531924347,>= 4 N
PubchemFP193,193,0.027547582358323327,0.023631738912288314,0.003507984002947072,>= 3 saturated or aromatic carbon-only ring size 6
PubchemFP530,530,0.02541056428309385,0.007645753254612786,0.003597214239895507,N:C-C:C
PubchemFP259,259,0.022193071252013277,0.0033142809771931512,0.0022495226811645687,>= 3 aromatic rings
PubchemFP345,345,0.01979606970851488,-0.0004303738201326679,0.001708032287895532,C(~C)(~H)(~N)
PubchemFP609,609,0.018687236348514498,0.004019365761177063,0.0004999480832923113,Cl-C-C-N-C
PubchemFP143,143,0.018085464007621194,0.0019718723639697623,0.0022184211127176563,>= 1 any ring size 5
PubchemFP468,468,0.01798507955426308,0.0068576608143427475,0.0022997326478305844,O=S-C-N
PubchemFP656,656,0.017826896852782007,0.005740019356919368,0.005672411299385262,C-C-N-C-C
PubchemFP20,20,0.016111212102521616,0.002546593319622015,0.004967693853779494,>= 4 O
PubchemFP688,688,0.015956353794895278,0.024136321307275842,0.006847143755427211,C-C-C-C-C-C-C
PubchemFP483,483,0.014848745595163563,0.0017180543859335097,0.0019589414186034645,N-S-C:C
PubchemFP617,617,0.013635214739803714,0.003880773231590429,0.0031114561666569503,C-C-C-O-[#1]
PubchemFP500,500,0.012880990414369799,0.004192825035683611,0.0016385101104408088,C-S-C:C
PubchemFP2,2,0.012157915681584919,0.0003512305391131676,0.004436992662222286,>= 16 H
PubchemFP399,399,0.01169844182824763,0.019830781627396987,0.0016204751876576404,N(~H)(:C)
PubchemFP261,261,0.011409512592551997,0.006333041839138987,0.0013169525096422081,>= 4 aromatic rings
PubchemFP539,539,0.01111103864890308,0.002866518000833096,0.0016085935100516222,N=C-C-[#1]
PubchemFP392,392,0.011070182584567127,0.000279645484472657,0.0010067049247734184,N(~C)(~C)(~H)
PubchemFP181,181,0.011046164529124632,-0.00021281695041961424,0.002078258302669522,>= 1 saturated or aromatic heteroatom-containing ring size 6
PubchemFP577,577,0.01046764553125775,0.00031432398138199203,0.0030672392106849845,C:C-N-C:C
PubchemFP614,614,0.01025833471894735,-0.0006062525160495547,0.0008481577998414177,C-C-O-C-C
PubchemFP390,390,0.01015709199102838,0.0003834820109440584,0.0009373226149216328,N(~C)(~C)
PubchemFP738,738,0.010042057100411053,0.0018927463814989664,0.0007603185174429564,Cc1cc(Cl)ccc1
PubchemFP23,23,0.009890572807396487,-0.0029419376992750436,0.0021885657141090063,>= 1 F
PubchemFP300,300,0.009821861771686945,0.001854518536330807,0.0012833068360915277,N-N
PubchemFP386,386,0.009506888355948245,0.002131862257044681,0.001059334761932619,C(:C)(:C)(:N)
PubchemFP37,37,0.00939942838063832,0.0006385195718967118,0.0005668746763934931,>= 1 Cl
PubchemFP363,363,0.009141211077755857,0.00414972640639053,0.0035298969298072176,C(~F)(~F)
PubchemFP305,305,0.008637782264347539,0.0003085257346129744,0.0016209880244337897,N-S
PubchemFP374,374,0.008238411677229171,0.0027130716350538655,0.0009687891412939535,C(~H)(~H)(~H)
PubchemFP346,346,0.00818473902534969,-0.0034006012941742323,0.0054435713796944125,C(~C)(~H)(~O)
PubchemFP365,365,0.00791588324823608,-0.0001025024737499769,0.0006884031461818442,C(~H)(~N)
PubchemFP515,515,0.007907114254080196,0.0011318466617792565,0.0010667374173866497,N-N-C-C
PubchemFP683,683,0.007675055038219288,-0.0015657568280023626,0.0023122625187701894,N-C-C-C-C-C
PubchemFP696,696,0.0075890604062541465,-0.0017322335191093164,0.002286597977942601,C-C-C-C-C-C-C-C
PubchemFP335,335,0.007527027769208887,0.0005274234051824145,0.0008080583128584014,C(~C)(~C)(~C)(~H)
PubchemFP412,412,0.007472678382482315,0.0007379171781608962,0.0005667896506002088,S(~C)(~C)
PubchemFP338,338,0.007405269282875083,0.0029784856310319683,0.0008858663391136266,C(~C)(~C)(~H)(~N)
PubchemFP115,115,0.007274081154469642,-0.00032113756277216685,0.0006873649731342976,>= 1 any ring size 3
PubchemFP186,186,0.006935418510947392,-0.002636320111147572,0.0027605421931998155,>= 2 saturated or aromatic carbon-only ring size 6
PubchemFP432,432,0.006766010886914254,0.0009036776916987122,0.0009736738173227233,C(-C)(-C)(=O)
PubchemFP153,153,0.00674581491312313,0.0024558383142989195,0.0013919014501314806,>= 2 saturated or aromatic heteroatom-containing ring size 5
PubchemFP364,364,0.006700211712984608,-0.0018552623516242984,0.00268917565600219,C(~F)(:C)
PubchemFP13,13,0.0066789936574079166,0.0030231493022501166,0.0011921968479690803,>= 32 C
PubchemFP443,443,0.0064987730789500394,0.00030736407757968597,0.0005472154771518675,C(-C)(=O)
PubchemFP447,447,0.0064344024794288045,-0.00029962421197999857,0.00024083716807564708,C(-H)(=N)
PubchemFP116,116,0.006366073113384231,-0.00018003075740680163,0.0006670188469973721,>= 1 saturated or aromatic carbon-only ring size 3
PubchemFP435,435,0.006332787761639223,-0.0010182751029325422,0.0009577619621452941,C(-C)(-H)(=N)
PubchemFP820,820,0.006322290703508282,-0.0004086560039026077,0.0010824871932671198,CC1C(S)CCCC1
PubchemFP477,477,0.006315603336578621,-0.0003027143076245187,0.0007107901132080339,N-N-C:C
PubchemFP14,14,0.0062895119836946884,0.003283279890127766,0.00042180599081738954,>= 1 N
PubchemFP180,180,0.006232910987725838,0.00010377188538830406,0.0007623667571426529,>= 1 saturated or aromatic nitrogen-containing ring size 6
PubchemFP33,33,0.006188927036489379,0.00502851810014372,0.0015239586587859424,>= 1 S
PubchemFP516,516,0.006161064824871796,0.0035420060191366566,0.0012116124900970614,[#1]-C=C-[#1]
PubchemFP757,757,0.006151433218234564,3.0729181248856374e-05,0.0011659383604101208,Cc1c(S)cccc1
PubchemFP493,493,0.006095479985741971,0.00032764883365278276,0.0014292044746107885,O=C-C:C
PubchemFP643,643,0.005766206318863486,0.00017226617190350125,0.0007180428912053704,[#1]-C-C-N-[#1]
PubchemFP612,612,0.005673624271246646,-8.075117885253391e-05,0.001129226827125824,N-C-O-C-C
PubchemFP15,15,0.005580279229369837,0.0013710766796519059,0.0012365986545140426,>= 2 N
PubchemFP459,459,0.005580122846738155,0.0013885972771791265,0.0008393781956285131,S(=O)(=O)
PubchemFP308,308,0.005492494268566735,-0.0005753581413954212,0.0009161313797971314,O-H
PubchemFP523,523,0.005465116384164856,0.0006741824252587847,0.0006573974622994257,N:C:C-C
PubchemFP377,377,0.005373168870160027,0.001785489195649248,0.0010741587616730063,C(~N)(:C)(:C)
PubchemFP357,357,0.0053618500442876235,-0.0018238815567874211,0.000776594338503882,C(~C)(:C)(:N)
PubchemFP503,503,0.005340237533716704,0.0006395836818021916,0.0008584517483681487,Cl-C:C-[#1]
PubchemFP638,638,0.005315098653583944,0.00016053786360646914,0.0010619249873278656,O-C-C-C-N
PubchemFP600,600,0.005270801639363758,0.00044822637586187095,0.0007034525981699971,N-C:C:C-C
PubchemFP457,457,0.005256289063761172,0.00105556274259615,0.0005581795107620913,S(-C)(=O)
PubchemFP646,646,0.005165253752504798,0.00093109688361942,0.0009233652933750213,O=C-N-C-[#1]
PubchemFP699,699,0.005047677257322814,-0.001162168292533794,0.0019009747968699565,O-C-C-C-C-C(C)-C
PubchemFP146,146,0.005027636503426941,-0.0002281463807129902,0.0006662214141850781,>= 1 saturated or aromatic heteroatom-containing ring size 5
PubchemFP471,471,0.004886932728155098,0.00037212138925841743,0.0010797802432577558,S:C:C:C
PubchemFP621,621,0.004861558384678293,0.0014565887381600584,0.0004142436670837001,N-C:C:C:N
PubchemFP601,601,0.004782168212585394,0.001571319260759285,0.0005502624701404023,N-C:C:C-N
PubchemFP540,540,0.004777862018713713,0.0012274770710519523,0.0008355029473644894,C-N-C-[#1]
PubchemFP340,340,0.004726972525625862,0.0006890266684381307,0.0007340670460455076,C(~C)(~C)(~N)
PubchemFP507,507,0.004720803623496822,-0.0005130045992868037,0.0005862152589300146,C-C-S-C
PubchemFP571,571,0.004670464935038591,0.005564887496712934,0.000803955905436341,[#1]-C-O-[#1]
PubchemFP682,682,0.0046645406240590995,0.0038919123904334386,0.003284678288416464,O-C-C-C-C-N
PubchemFP144,144,0.004638559240182736,0.00016303526526650902,0.0008235803467202643,>= 1 saturated or aromatic carbon-only ring size 5
