threshold_type,threshold,dataset,n_inside,coverage_percent,R2_inside,RMSE_inside,MAE_inside
90th percentile,0.17702975163002124,test,414,90.0,0.6416091558214951,0.7560459780259317,0.5202289118672323
90th percentile,0.17702975163002124,external,45,77.58620689655173,0.45639749878401514,0.4205216891347357,0.3609786321397251
95th percentile,0.22635403693472164,test,439,95.43478260869566,0.6423711910455272,0.7479551831017021,0.5160447477603427
95th percentile,0.22635403693472164,external,58,100.0,0.46963789555788893,0.43286435776064514,0.3683949091732385
97.5th percentile,0.2745450221901491,test,450,97.82608695652173,0.6488264461479092,0.7520667633862509,0.5231774094115643
97.5th percentile,0.2745450221901491,external,58,100.0,0.46963789555788893,0.43286435776064514,0.3683949091732385
