feature,pubchem_bit,mean_abs_SHAP
PubchemFP581,581,0.00040467648539976224
PubchemFP1,1,0.0003863508826425793
PubchemFP557,557,0.00038232620948164964
PubchemFP486,486,0.00038102723919995697
PubchemFP337,337,0.0003638611967113435
PubchemFP610,610,0.00036276627786530763
PubchemFP213,213,0.00036253152412470786
PubchemFP722,722,0.00035953910369318585
PubchemFP428,428,0.000358040824571963
PubchemFP409,409,0.00035791400861911836
PubchemFP575,575,0.0003557984186067902
PubchemFP18,18,0.00035483628145644336
PubchemFP526,526,0.0003522021981303945
PubchemFP549,549,0.0003434899732875448
PubchemFP179,179,0.00034207343831115216
PubchemFP669,669,0.000336227726451683
PubchemFP700,700,0.00033377427929733077
PubchemFP367,367,0.0003315538569758866
PubchemFP771,771,0.00032184031544439586
PubchemFP690,690,0.00032012383655942006
PubchemFP206,206,0.000309044997301173
PubchemFP824,824,0.00030710211461122114
PubchemFP718,718,0.0003035992260735753
PubchemFP21,21,0.000301705474586716
PubchemFP723,723,0.0002983729915055604
PubchemFP563,563,0.0002907418640857552
PubchemFP768,768,0.0002888755229756888
PubchemFP727,727,0.00028598411695306434
PubchemFP478,478,0.00027997716447316533
PubchemFP701,701,0.000279292891405186
PubchemFP719,719,0.00027453587181459454
PubchemFP860,860,0.00027268280335696906
PubchemFP182,182,0.00026377579429782483
PubchemFP562,562,0.00024802938503555843
PubchemFP653,653,0.0002459064966559404
PubchemFP728,728,0.00023449748239318973
PubchemFP782,782,0.0002302579825447821
PubchemFP183,183,0.00022675182753808162
PubchemFP751,751,0.00022552355567105226
PubchemFP694,694,0.0002213515025623393
PubchemFP730,730,0.00022104727068316448
PubchemFP736,736,0.0001960716128976337
PubchemFP413,413,0.0001960571443605818
PubchemFP463,463,0.00019425386192951124
PubchemFP497,497,0.0001843939238567389
PubchemFP749,749,0.00018285924665915011
PubchemFP763,763,0.00017765328874068143
PubchemFP650,650,0.0001715034671882699
PubchemFP863,863,0.00016162944561086756
PubchemFP44,44,0.00015620280895801782
PubchemFP742,742,0.00015420459690338557
PubchemFP635,635,0.00015390761849961969
PubchemFP791,791,0.00013830722845727307
PubchemFP599,599,0.00013226423054465335
PubchemFP329,329,0.000129716797042481
PubchemFP488,488,0.00012796202986540279
PubchemFP726,726,0.00012692082616898087
PubchemFP720,720,0.00011308311573420691
PubchemFP578,578,0.00010578663182026999
